title,description,category,permitted_data_type,code_system,code_value,code_display,method_system,method_display,method_code,permitted_unit_system,permitted_unit_display,permitted_unit_code,component
Test for Chikungunya,Test for Chikungunya,laboratory,boolean,http://loinc.org,26623-9,Chikungunya virus Ab [Presence] in Serum,http://snomed.info/sct,Measurement of Chikungunya virus antibody,443346009,,,,"[  {    ""code"": {      ""code"": ""26623-9"",      ""system"": ""http://loinc.org"",      ""display"": ""Wet mount""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
IgM for Measles,IgM for Measles,laboratory,boolean,http://loinc.org,21503-8,Measles virus IgM Ab [Presence] in Serum,http://snomed.info/sct,Measles immunoglobulin M level,315150000,,,,"[  {    ""code"": {      ""code"": ""21503-8"",      ""system"": ""http://loinc.org"",      ""display"": ""India Ink Preparation""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Urine Pregnancy Test (UPT),Urine Pregnancy Test (UPT),laboratory,boolean,http://loinc.org,2106-3,Choriogonadotropin.beta subunit [Presence] in Urine,http://snomed.info/sct,Urine pregnancy test (procedure),167252002,,,,"[  {    ""code"": {      ""code"": ""2106-3"",      ""system"": ""http://loinc.org"",      ""display"": ""Choriogonadotropin (hCG)""    },    ""permitted_data_type"": ""boolean"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
CRP(including new born) (Quantitative),CRP(including new born) (Quantitative),laboratory,integer,http://loinc.org,30522-7,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,http://snomed.info/sct,C-reactive protein measurement,55235003,,mg/L,mg/L,"[  {    ""code"": {      ""code"": ""71426-1"",      ""system"": ""http://loinc.org"",      ""display"": ""C-Reactive Protein (CRP)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mg/L"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mg/L""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""max"": 5, ""interpretation"": { ""display"": ""Normal"" } },          { ""min"": 5, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
"Fluid analysis -biochemistry including Glucose, Protein, LDH","Fluid analysis -biochemistry including Glucose, Protein, LDH",laboratory,integer,http://loinc.org,,,http://snomed.info/sct,Fluid sample analysis,168147001,,,,"[  {    ""code"": {      ""code"": ""38256-4"",      ""system"": ""http://loinc.org"",      ""display"": ""Total Cell Count""    },    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {      ""code"": ""/uL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""cells/µL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""max"": 300, ""interpretation"": { ""display"": ""Normal"" } },          { ""min"": 300, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""20999-9"",      ""system"": ""http://loinc.org"",      ""display"": ""Differential Count""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {      ""code"": ""2344-0"",      ""system"": ""http://loinc.org"",      ""display"": ""Fluid Glucose""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""mg/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""mg/dL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 60, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 60, ""interpretation"": { ""display"": ""Low"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""2881-1"",      ""system"": ""http://loinc.org"",      ""display"": ""Fluid Protein""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""g/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""g/dL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""max"": 2.5, ""interpretation"": { ""display"": ""Transudate"" } },          { ""min"": 2.5, ""interpretation"": { ""display"": ""Exudate"" } }        ]      }    ]  },  {    ""code"": {      ""code"": ""14803-1"",      ""system"": ""http://loinc.org"",      ""display"": ""Fluid LDH""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""U/L"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""U/L""    },    ""qualified_ranges"": []  },  {    ""code"": {      ""code"": ""47523-6"",      ""system"": ""http://loinc.org"",      ""display"": ""Cytology Result""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {      ""code"": ""66133-0"",      ""system"": ""http://loinc.org"",      ""display"": ""Inflammatory / Reactive Cells""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {      ""code"": ""74783-2"",      ""system"": ""http://loinc.org"",      ""display"": ""Malignant Cells""    },    ""permitted_data_type"": ""boolean"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Other cultures -swab,Other cultures -swab,laboratory,string,http://loinc.org,11475-1,Microorganism identified in Specimen by Culture,http://snomed.info/sct,Microbial culture,61594008,,,,"[  {    ""code"": {      ""code"": ""106032-6"",      ""system"": ""http://loinc.org"",      ""display"": ""Bacteria identified in Pus by Culture""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {      ""code"": ""106034-2"",      ""system"": ""http://loinc.org"",      ""display"": ""Fungus identified in Pus by Culture""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Culture of stool specimen for Vibrio cholerae and other common bacterial enteropathogens,Culture of stool specimen for Vibrio cholerae and other common bacterial enteropathogens,laboratory,boolean,http://loinc.org,625-4,Bacteria identified in Stool by Culture,http://snomed.info/sct,Stool culture for bacteria,104191004,,,,"[  {    ""code"": {      ""code"": ""6579-7"",      ""system"": ""http://loinc.org"",      ""display"": ""Vibrio sp identified in Stool by Organism specific culture""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {      ""code"": ""97315-6"",      ""system"": ""http://loinc.org"",      ""display"": ""Vibrio parahaemolyticus DNA [Presence] in Stool by NAA with probe detection""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {      ""code"": ""97316-4"",      ""system"": ""http://loinc.org"",      ""display"": ""Vibrio vulnificus DNA [Presence] in Stool by NAA with probe detection""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Organism identification and antimicrobial sensitivity for cultures- swab,Organism identification and antimicrobial sensitivity for cultures- swab,laboratory,string,http://loinc.org,11475-1,Microorganism identified in Specimen by Culture,http://snomed.info/sct,Identification procedure for living organism,108266002,,,,"[  {    ""code"": {      ""code"": ""11475-1"",      ""system"": ""http://loinc.org"",      ""display"": ""Microorganism identified in Specimen by Culture""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  },  {    ""code"": {      ""code"": ""23658-8"",      ""system"": ""http://loinc.org"",      ""display"": ""Other Antibiotic [Susceptibility]""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Nucleic Acid Amplification Test (NAAT) for TB,Nucleic Acid Amplification Test (NAAT) for TB,laboratory,boolean,http://loinc.org,38379-4,Mycobacterium tuberculosis complex DNA [Presence] in Specimen by NAA with probe detection,http://snomed.info/sct,Nucleic acid amplification,69363007,,,,"[  {    ""code"": {      ""code"": ""38379-4"",      ""system"": ""http://loinc.org"",      ""display"": ""Bacteria identified in Sputum by Culture""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
S. Lipase,S. Lipase,laboratory,decimal,http://loinc.org,3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma,http://snomed.info/sct,Serum Lipase Measurement,271232007,,U/L,U/L,"[  {    ""code"": {      ""code"": ""3040-3"",      ""system"": ""http://loinc.org"",      ""display"": ""Lipase""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""U/L"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""U/L""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 0, ""max"": 160, ""interpretation"": { ""display"": ""Normal"" } },          { ""min"": 160, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
Blood Urea Nitrogen (BUN),Blood Urea Nitrogen (BUN),laboratory,decimal,http://loinc.org,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,http://snomed.info/sct,Blood urea nitrogen measurement,105011006,,mg/dl,mg/dl,
Urine Sugar measurement,Urine Sugar measurement,laboratory,boolean,http://loinc.org,2349-9,Glucose [Presence] in Urine,http://snomed.info/sct,"Glucose presence, urine",268556000,,mg/dl,mg/dl,
Urine Sugar (Test strip),Urine Sugar (Test strip),laboratory,boolean,http://loinc.org,25428-4,Glucose [Presence] in Urine by Test strip,http://snomed.info/sct,"Glucose measurement, urine",30994003,,,,"[  {    ""code"": {      ""code"": ""25428-4"",      ""system"": ""http://loinc.org"",      ""display"": ""Glucose""    },    ""permitted_data_type"": ""boolean"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
RDW,RDW,laboratory,decimal,http://loinc.org,788-0,Erythrocyte [DistWidth] in Blood by Automated count,http://snomed.info/sct,Red cell distribution width determination,66842004,,%,%,"[  {    ""code"": {      ""code"": ""788-0"",      ""system"": ""http://loinc.org"",      ""display"": ""Erythrocyte Distribution Width (RDW)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""%"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""%""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 11.5, ""max"": 14.5, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 11.5, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 14.5, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
PDW,PDW,laboratory,decimal,http://loinc.org,32207-3,Platelet distribution width [Entitic volume] in Blood by Automated count,http://snomed.info/sct,Measurement of variation in platelet size,250313005,,%,%,"[  {    ""code"": {      ""code"": ""32207-3"",      ""system"": ""http://loinc.org"",      ""display"": ""Platelet Distribution Width (PDW)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""%"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""%""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 10, ""max"": 18, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 10, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 18, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
MPV,MPV,laboratory,decimal,http://loinc.org,32623-1,Platelet [Entitic mean volume] in Blood by Automated count,http://snomed.info/sct,Measurement of mean platelet volume,75672003,,fL,fL,"[  {    ""code"": {      ""code"": ""32623-1"",      ""system"": ""http://loinc.org"",      ""display"": ""Mean Platelet Volume (MPV)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""fL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""fL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 7.5, ""max"": 11.5, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 7.5, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 11.5, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
MCH,MCH,laboratory,decimal,http://loinc.org,785-6,MCH [Entitic mass] by automatic analyser,http://snomed.info/sct,Measurement of mean corpuscular hemoglobin,54706004,,pg,pg,"[  {    ""code"": {      ""code"": ""785-6"",      ""system"": ""http://loinc.org"",      ""display"": ""Mean Corpuscular Hemoglobin (MCH)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""pg"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""pg""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 27, ""max"": 33, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 27, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 33, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
MCV,MCV,laboratory,decimal,http://loinc.org,787-2,"
MCV [Entitic mean volume] in Red Blood Cells by Automated count",http://snomed.info/sct,Erythrocyte mean corpuscular volume determination,104133003,,fL,fL,"[  {    ""code"": {      ""code"": ""787-2"",      ""system"": ""http://loinc.org"",      ""display"": ""Mean Corpuscular Volume (MCV)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""fL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""fL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 80, ""max"": 100, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 80, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 100, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
MCHC,MCHC,laboratory,decimal,http://loinc.org,786-4,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,http://snomed.info/sct,Mean corpuscular hemoglobin concentration determination,37254006,,g/dL,g/dL,"[  {    ""code"": {      ""code"": ""786-4"",      ""system"": ""http://loinc.org"",      ""display"": ""Mean Corpuscular Hemoglobin Concentration (MCHC)""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""g/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""g/dL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 32, ""max"": 36, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 32, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 36, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
"Coagulation Profile (PT ,INR, aPTT)","Coagulation Profile (PT ,INR, aPTT)",laboratory,string,http://loinc.org,,,http://snomed.info/sct,Measurement of clotting parameters in blood plasma,103800002,,N/A,N/A,
Routine Hematoxylin and Eosin (H&E) staining,Routine Hematoxylin and Eosin (H&E) staining,laboratory,string,http://loinc.org,6665-4,Microscopic observation [Identifier] in Tissue by Hematoxylin and eosin stain,http://snomed.info/sct,Microscopic examination of H&E stained tissue sections,104210008,,N/A,N/A,
FNAC - Routine MGG,FNAC - Routine MGG,laboratory,string,http://loinc.org,,,http://snomed.info/sct,Microscopic examination of aspirated cells stained with May-Grünwald-Giemsa,48635004,,N/A,N/A,
FNAC - Special stain when necessary,FNAC - Special stain when necessary,laboratory,string,http://loinc.org,,,http://snomed.info/sct,Microscopic examination of aspirated cells using special stains,48635004,,N/A,N/A,
FNAC – USG guided,FNAC – USG guided,laboratory,string,http://loinc.org,87179-8,Guidance for fine needle aspiration,http://snomed.info/sct,Image-guided fine needle aspiration cytology using ultrasound,48635004,,N/A,N/A,
Bronchioalveolar lavage fluid for cytology,Bronchioalveolar lavage fluid for cytology,laboratory,string,http://loinc.org,50007-4,Cytology report of Bronchoalveolar lavage Cyto stain,http://snomed.info/sct,"Cytopathology, review of bronchioalveolar lavage specimen",359825008,,N/A,N/A,
S. Globulin,S. Globulin,laboratory,decimal,http://loinc.org,2336-6,Globulin [Mass/volume] in Serum,http://snomed.info/sct,Measurement of serum globulin concentration,270994009,,g/dL,g/dL,"[  {    ""code"": {      ""code"": ""2336-6"",      ""system"": ""http://loinc.org"",      ""display"": ""Globulin""    },    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {      ""code"": ""g/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""g/dL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 2.02, ""max"": 3.5, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 2.02, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 3.5, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
Widal test,Widal test,laboratory,boolean,http://loinc.org,34371-5,Salmonella typhi H Ab [Titer] in Serum by Agglutination,http://snomed.info/sct,Widal test,165828002,,,,
Dengue NS1,Dengue NS1,laboratory,decimal,http://loinc.org,101206-1,Dengue virus NS1 Ag [Units/volume] in Serum or Plasma by Immunoassay,http://snomed.info/sct,Dengue virus antigen assay (procedure),122176006,,,,
Dengue IgM Antibody,Dengue IgM Antibody,laboratory,boolean,http://loinc.org,25338-5,Dengue virus IgM Ab [Presence] in Serum,http://snomed.info/sct,"Dengue virus antibody measurement, immunoglobulin M type",409689006,,,,
Dengue IgG Antibody,Dengue IgG Antibody,laboratory,boolean,http://loinc.org,29676-4,Dengue virus IgG Ab [Presence] in Serum,http://snomed.info/sct,"Dengue virus antibody measurement, immunoglobulin G type",409691003,,,,
HBsAg (Quantitative),HBsAg (Quantitative),laboratory,decimal,http://loinc.org,58452-4,Hepatitis B virus surface Ag [Units/volume] in Serum,http://snomed.info/sct,Hepatitis B surface antigen measurement,47758006,,,,"[  {    ""code"": {      ""code"": ""58452-4"",      ""system"": ""http://loinc.org"",      ""display"": ""Hepatitis B virus surface Ag (HBsAg)""    },    ""permitted_data_type"": ""boolean"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Rapid malaria test for PF,Rapid malaria test for PF,laboratory,boolean,http://loinc.org,76772-3,Plasmodium falciparum Ag [Presence] in Blood by Rapid immunoassay,http://snomed.info/sct,Immunochromatographic malaria screening test (procedure),391513009,,,,"[  {    ""code"": {      ""code"": ""76772-3"",      ""system"": ""http://loinc.org"",      ""display"": ""Plasmodium falciparum""    },    ""permitted_data_type"": ""boolean"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Rapid malaria test for PV,Rapid malaria test for PV,laboratory,boolean,http://loinc.org,,,http://snomed.info/sct,Immunochromatographic malaria screening test (procedure),,,,,
ZN Stain for Extra pulmonary sample,ZN Stain for Extra pulmonary sample,laboratory,boolean,http://loinc.org,656-9,Microscopic observation [Identifier] in Specimen by Acid fast stain.Ziehl-Neelsen,http://snomed.info/sct,,406979008,,,,
Stool R/E and parasites,Stool R/E and parasites,laboratory,boolean,http://loinc.org,20924-7,Ova and parasites identified in Stool by Parasite sedimentation,http://snomed.info/sct,Stool sample - parasitology ,167695006,,,,
Stool for ova and cyst,Stool for ova and cyst,laboratory,boolean,http://loinc.org,10701-1,Ova and parasites identified in Stool by Concentration,http://snomed.info/sct,,104223001,,,,
Stool for Occult Blood,Stool for Occult Blood,laboratory,boolean,http://loinc.org,2335-8,Hemoglobin.gastrointestinal [Presence] in Stool,http://snomed.info/sct,,442563002,,,,
Platelet count and morphology.,Platelet count and morphology.,laboratory,string,http://loinc.org,11125-2,Platelet morphology finding [Identifier] in Blood,http://snomed.info/sct,,61928009,,,,
Absolute neutrophil count,Absolute neutrophil count,laboratory,decimal,http://loinc.org,751-8,Neutrophils [#/volume] in Blood by Automated count,http://snomed.info/sct,Neutrophil Count,30630007,,cells/µL,cells/µL,"[  {    ""code"": {      ""code"": ""751-8"",      ""system"": ""http://loinc.org"",      ""display"": ""Neutrophils""    },    ""permitted_data_type"": ""integer"",    ""permitted_unit"": {      ""code"": ""/uL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""cells/µL""    },    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          { ""min"": 1500, ""max"": 8000, ""interpretation"": { ""display"": ""Normal"" } },          { ""max"": 1500, ""interpretation"": { ""display"": ""Low"" } },          { ""min"": 8000, ""interpretation"": { ""display"": ""High"" } }        ]      }    ]  }]"
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Venipuncture),Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Venipuncture),laboratory,boolean,,44871-2,HIV 1 proviral DNA [Presence] in Blood by NAA with probe detection,http://snomed.info/sct,,117748001,,,,"{  ""code"": {    ""code"": ""44871-2"",    ""system"": ""http://loinc.org"",    ""display"": ""Urine Pregnancy Test""  },  ""permitted_data_type"": ""boolean"",  ""qualified_ranges"": [    {      ""ranges"": [        {""value"": true, ""interpretation"": {""display"": ""Positive""}},        {""value"": false, ""interpretation"": {""display"": ""Negative""}}      ]    }  ]}"
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Heel Prick Test),Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Heel Prick Test),laboratory,boolean,,44871-2,HIV 1 proviral DNA [Presence] in Blood by NAA with probe detection,http://snomed.info/sct,,117748001,,,,"{  ""code"": {    ""code"": ""44871-2"",    ""system"": ""http://loinc.org"",    ""display"": ""Urine Pregnancy Test""  },  ""permitted_data_type"": ""boolean"",  ""qualified_ranges"": [    {      ""ranges"": [        {""value"": true, ""interpretation"": {""display"": ""Positive""}},        {""value"": false, ""interpretation"": {""display"": ""Negative""}}      ]    }  ]}"
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC)(Dried blood spot specimen),Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC)(Dried blood spot specimen),laboratory,boolean,,44871-2,HIV 1 proviral DNA [Presence] in Blood by NAA with probe detection,http://snomed.info/sct,,117748001,,,,"{  ""code"": {    ""code"": ""44871-2"",    ""system"": ""http://loinc.org"",    ""display"": ""Urine Pregnancy Test""  },  ""permitted_data_type"": ""boolean"",  ""qualified_ranges"": [    {      ""ranges"": [        {""value"": true, ""interpretation"": {""display"": ""Positive""}},        {""value"": false, ""interpretation"": {""display"": ""Negative""}}      ]    }  ]}"
Glucose Tolerance test (GTT),Glucose Tolerance test (GTT),laboratory,integer,,	21004-7,Glucose tolerance [Interpretation] in Serum or Plasma,http://snomed.info/sct,,104725009,,,,"[  {    ""code"": {      ""code"": ""1557-8"",      ""system"": ""http://loinc.org"",      ""display"": ""Fasting Glucose (GTT-F)""    },    ""permitted_data_type"": ""quantity"",    ""permitted_unit"": {      ""code"": ""mg/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""milligram per deciliter""    },    ""qualified_ranges"": [      {        ""ranges"": [          {""min"": 70, ""max"": 99, ""interpretation"": {""display"": ""Normal""}},          {""max"": 70, ""interpretation"": {""display"": ""Low"", ""color"": ""black""}},          {""min"": 100, ""max"": 125, ""interpretation"": {""display"": ""Impaired Fasting Glucose"", ""color"": ""yellow""}},          {""min"": 126, ""interpretation"": {""display"": ""Diabetes"", ""color"": ""red""}}        ]      }    ]  },  {    ""code"": {      ""code"": ""14756-1"",      ""system"": ""http://loinc.org"",      ""display"": ""1-Hour Glucose (GTT-1H)""    },    ""permitted_data_type"": ""quantity"",    ""permitted_unit"": {      ""code"": ""mg/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""milligram per deciliter""    },    ""qualified_ranges"": [      {        ""ranges"": [          {""max"": 180, ""interpretation"": {""display"": ""Normal""}},          {""min"": 180, ""interpretation"": {""display"": ""High"", ""color"": ""red""}}        ]      }    ]  },  {    ""code"": {      ""code"": ""72171-2"",      ""system"": ""http://loinc.org"",      ""display"": ""2-Hour Glucose (GTT-2H)""    },    ""permitted_data_type"": ""quantity"",    ""permitted_unit"": {      ""code"": ""mg/dL"",      ""system"": ""http://unitsofmeasure.org"",      ""display"": ""milligram per deciliter""    },    ""qualified_ranges"": [      {        ""ranges"": [          {""max"": 140, ""interpretation"": {""display"": ""Normal""}},          {""min"": 140, ""max"": 199, ""interpretation"": {""display"": ""Impaired Glucose Tolerance"", ""color"": ""yellow""}},          {""min"": 200, ""interpretation"": {""display"": ""Diabetes"", ""color"": ""red""}}        ]      }    ]  }]"
