title,description,category,permitted_data_type,code_system,code_value,code_display,method_system,method_display,method_code,permitted_unit_system,permitted_unit_display,permitted_unit_code,component
Coombs test indirect with titre,Coombs test indirect with titre,laboratory,boolean,http://loinc.org,56886-5,Indirect antiglobulin test.unspecified reagent [Titre] in Serum or Plasma,http://snomed.info/sct,Indirect Coombs test,16742006,http://unitsofmeasure.org,,,"[  {    ""code"": {""code"": ""1008-2"", ""system"": ""http://loinc.org"", ""display"": ""Indirect antiglobulin test [Interpretation] in Serum or Plasma""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Sickling Test for Sickle cell anemia*,Sickling Test for Sickle cell anemia*,laboratory,boolean,http://loinc.org,Not found,,http://snomed.info/sct,Sickling test,252289009,,,,
Prothrombin Time (PT) and INR,Prothrombin Time (PT) and INR,laboratory,integer,http://loinc.org,5902-2,Prothrombin time (PT),http://snomed.info/sct,Prothrombin time,396451008,http://unitsofmeasure.org,Seconds,Seconds,"[  {    ""code"": {""code"": ""5902-2"", ""system"": ""http://loinc.org"", ""display"": ""Prothrombin time (PT) in Blood by Coagulation assay""},    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {""code"": ""s"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""seconds""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 11, ""max"": 15, ""interpretation"": {""display"": ""Normal""}},          {""max"": 11, ""interpretation"": {""display"": ""Low""}},          {""min"": 15, ""interpretation"": {""display"": ""High""}}        ]      }    ]  },  {    ""code"": {""code"": ""6301-6"", ""system"": ""http://loinc.org"", ""display"": ""INR in Platelet poor plasma by Coagulation assay""},    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {""code"": ""{INR}"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""INR""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 0.8, ""max"": 1.2, ""interpretation"": {""display"": ""Normal""}},          {""max"": 0.8, ""interpretation"": {""display"": ""Low""}},          {""min"": 1.2, ""interpretation"": {""display"": ""High""}}        ]      }    ]  },  {    ""code"": {""code"": ""5901-4"", ""system"": ""http://loinc.org"", ""display"": ""Prothrombin time (PT) control in Platelet poor plasma by Coagulation assay""},    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {""code"": ""s"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""seconds""},    ""qualified_ranges"": []  },  {    ""code"": {""code"": ""6302-4"", ""system"": ""http://loinc.org"", ""display"": ""Prothrombin time (PT) ratio in Platelet poor plasma by Coagulation assay""},    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {""code"": ""{ratio}"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""ratio""},    ""qualified_ranges"": []  }]"
Activated partial thromboplastin time,Activated partial thromboplastin time,laboratory,time,http://loinc.org,52767-1,Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay -- after addition of protein C activator/Activated partial thromboplastin time (aPTT),http://snomed.info/sct,"Partial thromboplastin time, activated",42525009,http://unitsofmeasure.org,Seconds,Seconds,"[  {    ""code"": {""code"": ""14979-9"", ""system"": ""http://loinc.org"", ""display"": ""Activated partial thromboplastin time (aPTT) in Platelet poor plasma by Coagulation assay""},    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {""code"": ""s"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""seconds""},    ""qualified_ranges"": [      {        ""conditions"": [],        ""ranges"": [          {""min"": 25, ""max"": 35, ""interpretation"": {""display"": ""Normal""}},          {""max"": 25, ""interpretation"": {""display"": ""Low""}},          {""min"": 35, ""interpretation"": {""display"": ""High""}}        ]      }    ]  },  {    ""code"": {""code"": ""13488-2"", ""system"": ""http://loinc.org"", ""display"": ""Activated partial thromboplastin time (aPTT) control in Platelet poor plasma by Coagulation assay""},    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {""code"": ""s"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""seconds""},    ""qualified_ranges"": []  },  {    ""code"": {""code"": ""75884-7"", ""system"": ""http://loinc.org"", ""display"": ""Activated partial thromboplastin time (aPTT) ratio in Platelet poor plasma by Coagulation assay""},    ""permitted_data_type"": ""decimal"",    ""permitted_unit"": {""code"": ""{ratio}"", ""system"": ""http://unitsofmeasure.org"", ""display"": ""ratio""},    ""qualified_ranges"": []  }]"
HIV test (Antibodies 1 and 2) ,HIV test (Antibodies 1 and 2) ,laboratory,boolean,http://loinc.org,85037-0,(HIV 1 and 2 Ab and HIV 1 p24 Ag panel - Serum or Plasma by Immunoassay),http://snomed.info/sct,Human immunodeficiency virus antigen test,31676001,http://unitsofmeasure.org,,,"[  {    ""code"": {""code"": ""7918-6"", ""system"": ""http://loinc.org"", ""display"": ""HIV 1+2 Ab [Presence] in Serum or Plasma""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
IgM antibody to hepatitis B core antigen (IgM anti-HBc),IgM antibody to hepatitis B core antigen (IgM anti-HBc),laboratory,boolean,http://loinc.org,22316-4,Hepatitis B virus core Ab [Units/volume] in Serum,http://snomed.info/sct,Hepatitis B core immunoglobulin M level,315132007,http://unitsofmeasure.org,,,"[  {    ""code"": {""code"": ""32685-0"", ""system"": ""http://loinc.org"", ""display"": ""Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
HCV Antibody Test (Anti HCV),HCV Antibody Test (Anti HCV),laboratory,boolean,http://loinc.org,22327-1,Hepatitis C virus Ab [Units/volume] in Serum,http://snomed.info/sct,Hepatitis C antibody measurement,64411004,,,,"[  {    ""code"": {""code"": ""72376-7"", ""system"": ""http://loinc.org"", ""display"": ""Hepatitis C virus Ab [Presence] in Serum or Plasma""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Typhoid test (IgM) - Venipuncture,Typhoid test (IgM) - Venipuncture,laboratory,boolean,http://loinc.org,17566-1,Salmonella typhi O Ab [Presence] in Serum,http://snomed.info/sct,Diagnosis of Typhoid through detection of Antibodies against the S. Typhi H Abs,104294000,,,,"[  {    ""code"": {""code"": ""17566-1"", ""system"": ""http://loinc.org"", ""display"": ""Salmonella typhi IgM Ab [Presence] in Serum by Agglutination""},    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
Typhoid test (IgM)- Finger prick,Typhoid test (IgM)- Finger prick,laboratory,boolean,http://loinc.org,17566-1,Salmonella typhi O Ab [Presence] in Serum,http://snomed.info/sct,Diagnosis of Typhoid through detection of Antibodies against the S. Typhi H Abs,104294000,,,,"[  {    ""code"": {      ""code"": ""17566-1"",      ""system"": ""http://loinc.org"",      ""display"": ""Typhoid IgM Result (Typ-IgM) by agglutination""    },    ""permitted_data_type"": ""string"",    ""permitted_unit"": null,    ""qualified_ranges"": []  }]"
S. Iron,S. Iron,laboratory,decimal,http://loinc.org,2498-4,Iron [Mass/volume] in Serum or Plasma,http://snomed.info/sct,Serum iron measurement,250216004,,µg/dL,µg/dL,
